property,apartment_code,billing_month,units_consumed,unit_cost,amount,apt_avg_units,deviation_from_avg
Vista Heights,A11,Apr-23,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Apr-24,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Apr-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Apr-26,539.20,11.50,6200.8000,122.7,416.5
Vista Heights,A11,Aug-23,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Aug-24,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Aug-25,261.40,11.50,3006.1000,122.7,138.7
Vista Heights,A11,Dec-24,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Dec-25,236.00,11.50,2714.0000,122.7,113.3
Vista Heights,A11,Feb-24,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Feb-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Feb-26,303.10,11.50,3485.6500,122.7,180.4
Vista Heights,A11,Jan-24,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Jan-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Jan-26,194.40,11.50,2235.6000,122.7,71.7
Vista Heights,A11,Jul-23,65.90,11.00,724.9000,122.7,-56.8
Vista Heights,A11,Jul-24,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Jul-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Jun-23,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Jun-24,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Jun-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Jun-26,641.90,11.50,7381.8500,122.7,519.2
Vista Heights,A11,Mar-24,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Mar-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Mar-26,505.40,11.50,5812.1000,122.7,382.7
Vista Heights,A11,May-23,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,May-24,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,May-25,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,May-26,650.60,11.50,7481.9000,122.7,527.9
Vista Heights,A11,Nov-23,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Nov-24,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Nov-25,406.10,11.50,4670.1500,122.7,283.4
Vista Heights,A11,Oct-23,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Oct-24,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Oct-25,404.70,11.50,4654.0500,122.7,282.0
Vista Heights,A11,Sep-23,0.00,11.00,0.0000,122.7,-122.7
Vista Heights,A11,Sep-24,0.00,11.50,0.0000,122.7,-122.7
Vista Heights,A11,Sep-25,454.10,11.50,5222.1500,122.7,331.4
Vista Heights,A12,Apr-23,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Apr-24,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Apr-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Apr-26,555.70,11.50,6390.5500,123.4,432.3
Vista Heights,A12,Aug-23,12.30,11.00,135.3000,123.4,-111.1
Vista Heights,A12,Aug-24,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Aug-25,478.30,11.50,5500.4500,123.4,354.9
Vista Heights,A12,Dec-24,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Dec-25,174.40,11.50,2005.6000,123.4,51.0
Vista Heights,A12,Feb-24,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Feb-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Feb-26,360.70,11.50,4148.0500,123.4,237.3
Vista Heights,A12,Jan-24,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Jan-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Jan-26,300.50,11.50,3455.7500,123.4,177.1
Vista Heights,A12,Jul-23,154.00,11.00,1694.0000,123.4,30.6
Vista Heights,A12,Jul-24,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Jul-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Jun-23,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Jun-24,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Jun-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Jun-26,608.90,11.50,7002.3500,123.4,485.5
Vista Heights,A12,Mar-24,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Mar-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Mar-26,380.40,11.50,4374.6000,123.4,257.0
Vista Heights,A12,May-23,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,May-24,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,May-25,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,May-26,705.60,11.50,8114.4000,123.4,582.2
Vista Heights,A12,Nov-23,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Nov-24,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Nov-25,250.10,11.50,2876.1500,123.4,126.7
Vista Heights,A12,Oct-23,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Oct-24,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Oct-25,324.10,11.50,3727.1500,123.4,200.7
Vista Heights,A12,Sep-23,0.00,11.00,0.0000,123.4,-123.4
Vista Heights,A12,Sep-24,0.00,11.50,0.0000,123.4,-123.4
Vista Heights,A12,Sep-25,385.00,11.50,4427.5000,123.4,261.6
Vista Heights,A22,Apr-23,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Apr-24,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,Apr-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Aug-23,69.40,11.00,763.4000,123.1,-53.7
Vista Heights,A22,Aug-24,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Aug-25,1364.10,11.50,15687.1500,123.1,1241.0
Vista Heights,A22,Dec-24,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Dec-25,337.50,11.50,3881.2500,123.1,214.4
Vista Heights,A22,Feb-24,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,Feb-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Jan-24,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,Jan-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Jul-23,1.00,11.00,11.0000,123.1,-122.1
Vista Heights,A22,Jul-24,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Jul-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Jun-23,510.00,11.00,5610.0000,123.1,386.9
Vista Heights,A22,Jun-24,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,Jun-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Mar-24,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,Mar-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,May-23,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,May-24,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,May-25,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Nov-23,0.00,11.00,0.0000,123.1,-123.1
Vista Heights,A22,Nov-24,0.00,11.50,0.0000,123.1,-123.1
Vista Heights,A22,Nov-25,570.40,11.50,6559.6000,123.1,447.3
Vista Heights,A22,Oct-23,0.00,11.00,0.0000,123.1,-123.1
