billing_period,actual,ml_predicted,ts_predicted
2025-08,3096351.0,3016514.682190001,2674811.0
2025-09,3249240.0,2907420.185384661,2587072.0
2025-10,3106707.0,3131891.6357555985,2562051.0
2025-11,2930340.0,3042860.7411811054,2549298.29
2025-12,2711866.0,2880193.1891958714,2477231.0
2026-01,2580927.0,2919151.7574431747,2552490.0
2026-02,2742922.0,2749655.392363012,2698118.0
2026-03,2865242.0,2911626.1349746287,2737400.0
2026-04,2942092.0,2959951.934312895,2868547.0
2026-05,3209053.0,3021182.8947858624,2944133.0
2026-06,3317353.0,3348105.472970903,3128749.0
2026-07,2967787.0,3307980.9218117297,2989809.0
