asset_code,serial_number,brand,model,asset_type,category,purchase_date,purchase_price,condition,status
VH-AC-B22-0004,BCX0P9AM700137B,Samsung,AR12RG3BAWKNNA,Air Conditioner,Appliances,,,good,allocated
VH-WM-GEN-0005,,,Voltas WTL600UEA 6kg,Washing Machine,Appliances,2024-03-26 00:00:00+00:00,12542.37,good,inventory
VH-WM-GEN-0004,,,Voltas WTL600UEA 6kg,Washing Machine,Appliances,2024-03-26 00:00:00+00:00,12542.37,good,inventory
VH-WM-GEN-0003,,,Voltas WTL65UPSC 6.5kg,Washing Machine,Appliances,2023-08-31 00:00:00+00:00,13474.58,good,inventory
VH-WM-GEN-0002,,,Samsung WA70A4002GS/TL 7kg,Washing Machine,Appliances,2024-08-02 00:00:00+00:00,15097.0,good,inventory
VH-WM-GEN-0001,,,Samsung WA70A4002GS/TL 7kg,Washing Machine,Appliances,2024-10-05 00:00:00+00:00,15290.0,good,inventory
VH-WD-GEN-0016,,,Double Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0015,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0014,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0013,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0012,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0011,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0010,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0009,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0008,,,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28 00:00:00+00:00,4950.0,good,inventory
VH-WD-GEN-0007,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0006,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0005,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0004,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0003,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0002,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-WD-GEN-0001,,,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24 00:00:00+00:00,6000.0,good,inventory
VH-ST-GEN-0022,,,Office Table,Study Table,Furniture,2023-05-02 00:00:00+00:00,3850.0,good,inventory
VH-ST-GEN-0021,,,Office Table,Study Table,Furniture,2023-05-02 00:00:00+00:00,3850.0,good,inventory
