property,apartment_code,billing_month,units_consumed,unit_cost,amount,apt_avg_units,deviation_from_avg,billing_period
Vista Heights,A11,Apr-23,0.0,11.5,0.0,122.7,-122.7,2023-04
Vista Heights,A11,Apr-24,0.0,11.0,0.0,122.7,-122.7,2024-04
Vista Heights,A11,Apr-25,0.0,11.5,0.0,122.7,-122.7,2025-04
Vista Heights,A11,Apr-26,539.2,11.5,6200.8,122.7,416.5,2026-04
Vista Heights,A11,Aug-23,0.0,11.0,0.0,122.7,-122.7,2023-08
Vista Heights,A11,Aug-24,0.0,11.5,0.0,122.7,-122.7,2024-08
Vista Heights,A11,Aug-25,261.4,11.5,3006.1,122.7,138.7,2025-08
Vista Heights,A11,Dec-24,0.0,11.5,0.0,122.7,-122.7,2024-12
Vista Heights,A11,Dec-25,236.0,11.5,2714.0,122.7,113.3,2025-12
Vista Heights,A11,Feb-24,0.0,11.0,0.0,122.7,-122.7,2024-02
Vista Heights,A11,Feb-25,0.0,11.5,0.0,122.7,-122.7,2025-02
Vista Heights,A11,Feb-26,303.1,11.5,3485.65,122.7,180.4,2026-02
Vista Heights,A11,Jan-24,0.0,11.0,0.0,122.7,-122.7,2024-01
Vista Heights,A11,Jan-25,0.0,11.5,0.0,122.7,-122.7,2025-01
Vista Heights,A11,Jan-26,194.4,11.5,2235.6,122.7,71.7,2026-01
Vista Heights,A11,Jul-23,65.9,11.0,724.9,122.7,-56.8,2023-07
Vista Heights,A11,Jul-24,0.0,11.5,0.0,122.7,-122.7,2024-07
Vista Heights,A11,Jul-25,0.0,11.5,0.0,122.7,-122.7,2025-07
Vista Heights,A11,Jun-23,0.0,11.0,0.0,122.7,-122.7,2023-06
Vista Heights,A11,Jun-24,0.0,11.0,0.0,122.7,-122.7,2024-06
Vista Heights,A11,Jun-25,0.0,11.5,0.0,122.7,-122.7,2025-06
Vista Heights,A11,Jun-26,641.9,11.5,7381.85,122.7,519.2,2026-06
Vista Heights,A11,Mar-24,0.0,11.0,0.0,122.7,-122.7,2024-03
Vista Heights,A11,Mar-25,0.0,11.5,0.0,122.7,-122.7,2025-03
Vista Heights,A11,Mar-26,505.4,11.5,5812.1,122.7,382.7,2026-03
Vista Heights,A11,May-23,0.0,11.0,0.0,122.7,-122.7,2023-05
Vista Heights,A11,May-24,0.0,11.0,0.0,122.7,-122.7,2024-05
Vista Heights,A11,May-25,0.0,11.5,0.0,122.7,-122.7,2025-05
Vista Heights,A11,May-26,650.6,11.5,7481.9,122.7,527.9,2026-05
Vista Heights,A11,Nov-23,0.0,11.0,0.0,122.7,-122.7,2023-11
Vista Heights,A11,Nov-24,0.0,11.5,0.0,122.7,-122.7,2024-11
Vista Heights,A11,Nov-25,406.1,11.5,4670.15,122.7,283.4,2025-11
Vista Heights,A11,Oct-23,0.0,11.0,0.0,122.7,-122.7,2023-10
Vista Heights,A11,Oct-24,0.0,11.5,0.0,122.7,-122.7,2024-10
Vista Heights,A11,Oct-25,404.7,11.5,4654.05,122.7,282.0,2025-10
Vista Heights,A11,Sep-23,0.0,11.0,0.0,122.7,-122.7,2023-09
Vista Heights,A11,Sep-24,0.0,11.5,0.0,122.7,-122.7,2024-09
Vista Heights,A11,Sep-25,454.1,11.5,5222.15,122.7,331.4,2025-09
Vista Heights,A12,Apr-23,0.0,11.5,0.0,123.4,-123.4,2023-04
Vista Heights,A12,Apr-24,0.0,11.0,0.0,123.4,-123.4,2024-04
Vista Heights,A12,Apr-25,0.0,11.5,0.0,123.4,-123.4,2025-04
Vista Heights,A12,Apr-26,555.7,11.5,6390.55,123.4,432.3,2026-04
Vista Heights,A12,Aug-23,12.3,11.0,135.3,123.4,-111.1,2023-08
Vista Heights,A12,Aug-24,0.0,11.5,0.0,123.4,-123.4,2024-08
Vista Heights,A12,Aug-25,478.3,11.5,5500.45,123.4,354.9,2025-08
Vista Heights,A12,Dec-24,0.0,11.5,0.0,123.4,-123.4,2024-12
Vista Heights,A12,Dec-25,174.4,11.5,2005.6,123.4,51.0,2025-12
Vista Heights,A12,Feb-24,0.0,11.0,0.0,123.4,-123.4,2024-02
Vista Heights,A12,Feb-25,0.0,11.5,0.0,123.4,-123.4,2025-02
Vista Heights,A12,Feb-26,360.7,11.5,4148.05,123.4,237.3,2026-02
Vista Heights,A12,Jan-24,0.0,11.0,0.0,123.4,-123.4,2024-01
Vista Heights,A12,Jan-25,0.0,11.5,0.0,123.4,-123.4,2025-01
Vista Heights,A12,Jan-26,300.5,11.5,3455.75,123.4,177.1,2026-01
Vista Heights,A12,Jul-23,154.0,11.0,1694.0,123.4,30.6,2023-07
Vista Heights,A12,Jul-24,0.0,11.5,0.0,123.4,-123.4,2024-07
Vista Heights,A12,Jul-25,0.0,11.5,0.0,123.4,-123.4,2025-07
Vista Heights,A12,Jun-23,0.0,11.0,0.0,123.4,-123.4,2023-06
Vista Heights,A12,Jun-24,0.0,11.0,0.0,123.4,-123.4,2024-06
Vista Heights,A12,Jun-25,0.0,11.5,0.0,123.4,-123.4,2025-06
Vista Heights,A12,Jun-26,608.9,11.5,7002.35,123.4,485.5,2026-06
Vista Heights,A12,Mar-24,0.0,11.0,0.0,123.4,-123.4,2024-03
Vista Heights,A12,Mar-25,0.0,11.5,0.0,123.4,-123.4,2025-03
Vista Heights,A12,Mar-26,380.4,11.5,4374.6,123.4,257.0,2026-03
Vista Heights,A12,May-23,0.0,11.0,0.0,123.4,-123.4,2023-05
Vista Heights,A12,May-24,0.0,11.0,0.0,123.4,-123.4,2024-05
Vista Heights,A12,May-25,0.0,11.5,0.0,123.4,-123.4,2025-05
Vista Heights,A12,May-26,705.6,11.5,8114.4,123.4,582.2,2026-05
Vista Heights,A12,Nov-23,0.0,11.0,0.0,123.4,-123.4,2023-11
Vista Heights,A12,Nov-24,0.0,11.5,0.0,123.4,-123.4,2024-11
Vista Heights,A12,Nov-25,250.1,11.5,2876.15,123.4,126.7,2025-11
Vista Heights,A12,Oct-23,0.0,11.0,0.0,123.4,-123.4,2023-10
Vista Heights,A12,Oct-24,0.0,11.5,0.0,123.4,-123.4,2024-10
Vista Heights,A12,Oct-25,324.1,11.5,3727.15,123.4,200.7,2025-10
Vista Heights,A12,Sep-23,0.0,11.0,0.0,123.4,-123.4,2023-09
Vista Heights,A12,Sep-24,0.0,11.5,0.0,123.4,-123.4,2024-09
Vista Heights,A12,Sep-25,385.0,11.5,4427.5,123.4,261.6,2025-09
Vista Heights,A22,Apr-23,0.0,11.5,0.0,123.1,-123.1,2023-04
Vista Heights,A22,Apr-24,0.0,11.0,0.0,123.1,-123.1,2024-04
Vista Heights,A22,Apr-25,0.0,11.5,0.0,123.1,-123.1,2025-04
Vista Heights,A22,Aug-23,69.4,11.0,763.4,123.1,-53.7,2023-08
Vista Heights,A22,Aug-24,0.0,11.5,0.0,123.1,-123.1,2024-08
Vista Heights,A22,Aug-25,1364.1,11.5,15687.15,123.1,1241.0,2025-08
Vista Heights,A22,Dec-24,0.0,11.5,0.0,123.1,-123.1,2024-12
Vista Heights,A22,Dec-25,337.5,11.5,3881.25,123.1,214.4,2025-12
Vista Heights,A22,Feb-24,0.0,11.0,0.0,123.1,-123.1,2024-02
Vista Heights,A22,Feb-25,0.0,11.5,0.0,123.1,-123.1,2025-02
Vista Heights,A22,Jan-24,0.0,11.0,0.0,123.1,-123.1,2024-01
Vista Heights,A22,Jan-25,0.0,11.5,0.0,123.1,-123.1,2025-01
Vista Heights,A22,Jul-23,1.0,11.0,11.0,123.1,-122.1,2023-07
Vista Heights,A22,Jul-24,0.0,11.5,0.0,123.1,-123.1,2024-07
Vista Heights,A22,Jul-25,0.0,11.5,0.0,123.1,-123.1,2025-07
Vista Heights,A22,Jun-23,510.0,11.0,5610.0,123.1,386.9,2023-06
Vista Heights,A22,Jun-24,0.0,11.0,0.0,123.1,-123.1,2024-06
Vista Heights,A22,Jun-25,0.0,11.5,0.0,123.1,-123.1,2025-06
Vista Heights,A22,Mar-24,0.0,11.0,0.0,123.1,-123.1,2024-03
Vista Heights,A22,Mar-25,0.0,11.5,0.0,123.1,-123.1,2025-03
Vista Heights,A22,May-23,0.0,11.0,0.0,123.1,-123.1,2023-05
Vista Heights,A22,May-24,0.0,11.0,0.0,123.1,-123.1,2024-05
Vista Heights,A22,May-25,0.0,11.5,0.0,123.1,-123.1,2025-05
Vista Heights,A22,Nov-23,0.0,11.0,0.0,123.1,-123.1,2023-11
Vista Heights,A22,Nov-24,0.0,11.5,0.0,123.1,-123.1,2024-11
Vista Heights,A22,Nov-25,570.4,11.5,6559.6,123.1,447.3,2025-11
Vista Heights,A22,Oct-23,0.0,11.0,0.0,123.1,-123.1,2023-10
Vista Heights,A22,Oct-24,0.0,11.5,0.0,123.1,-123.1,2024-10
Vista Heights,A22,Oct-25,523.4,11.5,6019.1,123.1,400.3,2025-10
Vista Heights,A22,Sep-23,0.0,11.0,0.0,123.1,-123.1,2023-09
Vista Heights,A22,Sep-24,0.0,11.5,0.0,123.1,-123.1,2024-09
Vista Heights,A22,Sep-25,564.1,11.5,6487.15,123.1,441.0,2025-09
Vista Heights,A23,Apr-23,1059.0,11.5,12178.5,760.7,298.3,2023-04
Vista Heights,A23,Apr-24,736.5,11.0,8101.5,760.7,-24.2,2024-04
Vista Heights,A23,Apr-25,1002.3,11.5,11526.45,760.7,241.6,2025-04
Vista Heights,A23,Apr-26,756.2,11.5,8696.3,760.7,-4.5,2026-04
Vista Heights,A23,Aug-23,638.2,11.0,7020.2,760.7,-122.5,2023-08
Vista Heights,A23,Aug-24,1127.0,11.5,12960.5,760.7,366.3,2024-08
Vista Heights,A23,Aug-25,792.3,11.5,9111.45,760.7,31.6,2025-08
Vista Heights,A23,Dec-24,701.5,11.5,8067.25,760.7,-59.2,2024-12
