property_name,apartment_code,eb_meter_number,eb_connection_type
Vista Heights,A11,9217003746.0,LT
Vista Heights,A12,9217003747.0,LT
Vista Heights,A22,,LT
Vista Heights,A23,9217003752.0,LT
Vista Heights,A24,9217003753.0,LT
Vista Heights,A41,9217003758.0,LT
Vista Heights,A44,9217003761.0,LT
Vista Heights,B11,9217003762.0,LT
Vista Heights,B12,9217003763.0,LT
Vista Heights,B13,9217003764.0,LT
Vista Heights,B14,9217003765.0,LT
Vista Heights,B22,9217003767.0,LT
Vista Heights,B24,9217003769.0,LT
Vista Heights,B31,9217003770.0,LT
Vista Heights,B32,9217003771.0,LT
Vista Heights,B33,9217003772.0,LT
Vista Heights,B34,9217003773.0,LT
Vista Heights,B41,9217003774.0,LT
Vista Heights,B42,9217003775.0,LT
Vista Heights,B43,9217003776.0,LT
Vista Heights,B44,9217003777.0,LT
Vista Heights,C11,9217003778.0,LT
Vista Heights,C12,9217003779.0,LT
Vista Heights,C21,9217003782.0,LT
Vista Heights,C24,9217003785.0,LT
Vista Heights,C31,9217003786.0,LT
Vista Heights,C34,9217003789.0,LT
Vista Heights,C41,9217003790.0,LT
Vista Heights,C42,9217003791.0,LT
Vista Heights,C43,9217003792.0,LT
Vista Heights,C44,9217003793.0,LT
Vista Heights,D11,9217003794.0,LT
Vista Heights,D12,9217003795.0,LT
Vista Heights,D13A,0.0,LT
Vista Heights,D13B,0.0,LT
Vista Heights,D15,0.0,LT
Vista Heights,D21,9217003797.0,LT
Vista Heights,D23B,0.0,LT
Vista Heights,D41,9217003803.0,Un-metered
Vista Heights,Office,,LT
