property,apartment_code,gender_allowed,bed_code,bed_type,toilet_type,bed_status,bed_lifecycle_status,current_rate,is_occupied,on_notice,is_vacant
Vista Heights,A11,male,A1,Single,Common,Live,notice,19500.0,0,1,0
Vista Heights,A11,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A11,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A11,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A11,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A12,female,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,A12,female,B2,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,A12,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A12,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A22,male,A1,Single,Common,Not-Active,vacant,19500.0,0,0,1
Vista Heights,A22,male,B1,Double,Attached,Not-Active,vacant,15500.0,0,0,1
Vista Heights,A22,male,B2,Double,Attached,Not-Active,vacant,15500.0,0,0,1
Vista Heights,A22,male,C1,Double,Common,Not-Active,notice,15500.0,0,1,0
Vista Heights,A22,male,C2,Double,Common,Not-Active,vacant,15500.0,0,0,1
Vista Heights,A23,male,A1,Single,Common,Live,notice,19500.0,0,1,0
Vista Heights,A23,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A23,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A23,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A23,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A24,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A24,male,B1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A24,male,B2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A24,male,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A24,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A24,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A41,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A41,male,B1,Triple,Attached,Live,notice,13500.0,0,1,0
Vista Heights,A41,male,B2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A41,male,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A41,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A41,male,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,A41,male,D1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A41,male,D2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A44,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A44,male,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,A44,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A44,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A44,male,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,A44,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,B11,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B11,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B11,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B11,male,C1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,B11,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B11,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,B12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B12,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B12,female,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,B12,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B12,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B13,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B13,male,B1,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,B13,male,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,B13,male,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,B13,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B14,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B22,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
