apartment_code,billing_period,next_month_amount,next_month_units,amount_method,amount_mape
B41,2026-07,16007.9,1353.2,holt_winters,20.36
C41,2026-07,15395.0,1312.3,holt_winters,10.43
A41,2026-07,14160.7,1198.8,holt_winters,14.79
B24,2026-07,14028.9,1219.9,seasonal_naive,13.63
C12,2026-07,13423.4,1128.7,holt_winters,23.75
B42,2026-07,12450.4,1067.6,linear_seasonal,14.4
B32,2026-07,11777.9,1006.4,holt_winters,9.19
C42,2026-07,11596.1,984.2,holt_winters,26.14
A44,2026-07,11495.9,982.0,linear_seasonal,16.38
D11,2026-07,10828.4,941.6,seasonal_naive,14.45
B44,2026-07,10647.9,925.9,seasonal_naive,33.03
B11,2026-07,10626.6,911.6,linear_seasonal,8.3
A24,2026-07,10431.2,873.1,holt_winters,16.52
C43,2026-07,10346.5,899.7,seasonal_naive,17.18
A23,2026-07,10271.8,953.5,seasonal_naive,16.19
C44,2026-07,10068.4,863.6,linear_seasonal,13.68
C24,2026-07,9804.9,852.6,seasonal_naive,22.41
D21,2026-07,9165.5,790.3,holt_winters,29.39
B43,2026-07,9109.0,777.6,holt_winters,15.13
B33,2026-07,9053.7,771.8,linear_seasonal,19.21
B13,2026-07,9014.5,769.0,linear_seasonal,31.42
D41,2026-07,8976.2,768.7,linear_seasonal,33.76
C21,2026-07,8498.7,726.0,linear_seasonal,29.23
B34,2026-07,8143.1,708.1,seasonal_naive,10.67
A12,2026-07,7603.1,661.9,holt_winters,25.48
A11,2026-07,7601.8,661.0,holt_winters,21.33
C11,2026-07,7466.9,649.3,seasonal_naive,246.82
B14,2026-07,7359.6,635.5,holt_winters,25.67
C34,2026-07,7219.4,621.9,linear_seasonal,19.97
B12,2026-07,6855.5,892.1,holt_winters,38.14
D12,2026-07,6670.1,567.1,holt_winters,18.09
C31,2026-07,5984.4,511.6,linear_seasonal,21.09
B22,2026-07,4935.5,417.6,holt_winters,17.49
A22,2026-07,3439.3,299.8,holt_winters,21.49
B31,2026-07,1431.3,124.5,holt_winters,20.24
D15,2026-07,1376.9,117.6,holt_winters,6.17
D13A,2026-07,0.0,0.0,seasonal_naive,100.0
D13B,2026-07,-1189.0,-112.8,linear_seasonal,
D23B,2026-07,-3327.3,-305.9,linear_seasonal,
