Model,RMSE,MAE,MAPE,R2,CV_r2
LinearRegression,1033.5546853374822,499.90164151040557,9.696627450425709,0.9640009419665596,0.9653918619736673
Ridge,1033.7591870720992,500.11923116685176,9.692325956972073,0.9639866948285303,0.9654030369995414
LightGBM,1253.9986987540397,396.22867161374126,10.278998188106367,0.947007014356515,0.9630177111642796
RandomForest,2070.2433972545514,549.2179077935049,26.948883469996005,0.8555668000568762,0.9440563648475877
DecisionTree,2098.745006039212,386.9573033707865,11.84861657335069,0.8515625215271465,0.9366534077047964
AdaBoost,2189.897533782293,1155.693571995159,29.190075126289866,0.8383886694547396,0.9178869500913546
ExtraTrees,2877.053009279547,621.0722853433208,20.58705146590547,0.7210541244490136,0.9141476427859784
CatBoost,3067.4658987843845,889.0113047518462,25.98018519944858,0.6829091548515382,0.9118207910108381
KNN,3099.6629822981104,1653.9955071161048,35.64092178790179,0.6762176503362695,0.8552617510451039
XGBoost,3364.1442503989756,844.8899093570781,37.88524944047161,0.6186063693921628,0.8875482993082565
GradientBoosting,3972.8832309638233,1214.9437636816126,46.850382587143194,0.4680928623129921,0.8382528870078902
SVR,5382.09568601855,3538.8141558782168,85.87319023485414,0.02382642732022644,0.01215636623278855
