asset_code,serial_number,brand,model,asset_type,category,purchase_date,purchase_price,warranty_expiry,condition,status,apartment_code
VH-AC-B22-0004,BCX0P9AM700137B,Samsung,AR12RG3BAWKNNA,Air Conditioner,Appliances,null,null,null,good,allocated,null
VH-WM-GEN-0005,null,null,Voltas WTL600UEA 6kg,Washing Machine,Appliances,2024-03-26,12542.37,null,good,inventory,null
VH-WM-GEN-0004,null,null,Voltas WTL600UEA 6kg,Washing Machine,Appliances,2024-03-26,12542.37,null,good,inventory,null
VH-WM-GEN-0003,null,null,Voltas WTL65UPSC 6.5kg,Washing Machine,Appliances,2023-08-31,13474.58,null,good,inventory,null
VH-WM-GEN-0002,null,null,Samsung WA70A4002GS/TL 7kg,Washing Machine,Appliances,2024-08-02,15097.00,null,good,inventory,null
VH-WM-GEN-0001,null,null,Samsung WA70A4002GS/TL 7kg,Washing Machine,Appliances,2024-10-05,15290.00,null,good,inventory,null
VH-WD-GEN-0016,null,null,Double Door Wardrobe,Wardrobe,Furniture,2024-03-28,6000.00,null,good,inventory,null
VH-WD-GEN-0015,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0014,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0013,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0012,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0011,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0010,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0009,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0008,null,null,Single Door Wardrobe,Wardrobe,Furniture,2024-03-28,4950.00,null,good,inventory,null
VH-WD-GEN-0007,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-WD-GEN-0006,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-WD-GEN-0005,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-WD-GEN-0004,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-WD-GEN-0003,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-WD-GEN-0002,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-WD-GEN-0001,null,null,Two Door Wardrobe,Wardrobe,Furniture,2023-08-24,6000.00,null,good,inventory,null
VH-ST-GEN-0022,null,null,Office Table,Study Table,Furniture,2023-05-02,3850.00,null,good,inventory,null
VH-ST-GEN-0021,null,null,Office Table,Study Table,Furniture,2023-05-02,3850.00,null,good,inventory,null
VH-ST-GEN-0020,null,null,Office Table,Study Table,Furniture,2023-05-02,3850.00,null,good,inventory,null
VH-ST-GEN-0019,null,null,Office Table,Study Table,Furniture,2023-05-02,3850.00,null,good,inventory,null
VH-ST-GEN-0018,null,null,Office Table,Study Table,Furniture,2023-05-02,3850.00,null,good,inventory,null
VH-ST-GEN-0017,null,null,Office Table,Study Table,Furniture,2023-05-02,3850.00,null,good,inventory,null
VH-ST-GEN-0016,null,null,Study Desk,Study Table,Furniture,2024-04-04,2700.00,null,good,inventory,null
VH-ST-GEN-0015,null,null,Study Desk,Study Table,Furniture,2024-04-04,2700.00,null,good,inventory,null
VH-ST-GEN-0014,null,null,Study Desk,Study Table,Furniture,2024-04-04,2700.00,null,good,inventory,null
VH-ST-GEN-0013,null,null,Study Desk,Study Table,Furniture,2024-04-04,2700.00,null,good,inventory,null
VH-ST-GEN-0012,null,null,Study Desk,Study Table,Furniture,2024-04-04,2700.00,null,good,inventory,null
VH-ST-GEN-0011,null,null,Study Desk,Study Table,Furniture,2024-04-04,2700.00,null,good,inventory,null
VH-ST-GEN-0010,null,null,Study Desk,Study Table,Furniture,2023-08-25,2150.00,null,good,inventory,null
VH-ST-GEN-0009,null,null,Study Desk,Study Table,Furniture,2023-08-25,2150.00,null,good,inventory,null
VH-ST-GEN-0008,null,null,Study Desk,Study Table,Furniture,2023-08-25,2150.00,null,good,inventory,null
VH-ST-GEN-0007,null,null,Study Desk,Study Table,Furniture,2023-08-10,2150.00,null,good,inventory,null
VH-ST-GEN-0006,null,null,Study Desk,Study Table,Furniture,2023-08-10,2150.00,null,good,inventory,null
VH-ST-GEN-0005,null,null,Study Desk,Study Table,Furniture,2023-08-10,2150.00,null,good,inventory,null
VH-ST-GEN-0004,null,null,Study Desk,Study Table,Furniture,2023-08-10,2150.00,null,good,inventory,null
VH-ST-GEN-0003,null,null,Study Desk,Study Table,Furniture,2023-08-10,2150.00,null,good,inventory,null
VH-ST-GEN-0002,null,null,null,Study Table,Furniture,2024-10-23,3150.00,null,good,inventory,null
VH-ST-GEN-0001,null,null,null,Study Table,Furniture,2024-10-23,3150.00,null,good,inventory,null
VH-SF-GEN-0008,null,null,3 Seater Sofa Regular Module Upholstery,Sofa,Furniture,2023-04-01,13500.00,null,good,inventory,null
VH-SF-GEN-0007,null,null,3 Seater Sofa Regular Module Upholstery,Sofa,Furniture,2023-04-01,13500.00,null,good,inventory,null
