property_name,apartment_code,eb_meter_number,eb_card_number,eb_consumer_number,eb_connection_type,eb_sanctioned_load
Vista Heights,A11,09217003746,null,null,LT,0
Vista Heights,A12,09217003747,null,null,LT,0
Vista Heights,A22,null,null,null,LT,0
Vista Heights,A23,09217003752,null,null,LT,0
Vista Heights,A23,09217003752,null,null,LT,0
Vista Heights,A24,09217003753,null,null,LT,0
Vista Heights,A41,09217003758,null,null,LT,0
Vista Heights,A44,09217003761,null,null,LT,0
Vista Heights,B11,09217003762,null,null,LT,0
Vista Heights,B12,09217003763,null,null,LT,0
Vista Heights,B13,09217003764,null,null,LT,0
Vista Heights,B14,09217003765,null,null,LT,0
Vista Heights,B22,09217003767,null,null,LT,0
Vista Heights,B24,09217003769,null,null,LT,0
Vista Heights,B31,09217003770,null,null,LT,0
Vista Heights,B32,09217003771,null,null,LT,0
Vista Heights,B33,09217003772,null,null,LT,0
Vista Heights,B34,09217003773,null,null,LT,0
Vista Heights,B41,09217003774,null,null,LT,0
Vista Heights,B42,09217003775,null,null,LT,0
Vista Heights,B43,09217003776,null,null,LT,0
Vista Heights,B44,09217003777,null,null,LT,0
Vista Heights,C11,09217003778,null,null,LT,0
Vista Heights,C12,09217003779,null,null,LT,0
Vista Heights,C21,09217003782,null,null,LT,0
Vista Heights,C24,09217003785,null,null,LT,0
Vista Heights,C31,09217003786,null,null,LT,0
Vista Heights,C34,09217003789,null,null,LT,0
Vista Heights,C41,09217003790,null,null,LT,0
Vista Heights,C42,09217003791,null,null,LT,0
Vista Heights,C43,09217003792,null,null,LT,0
Vista Heights,C44,09217003793,null,null,LT,0
Vista Heights,D11,09217003794,null,null,LT,0
Vista Heights,D12,09217003795,null,null,LT,0
Vista Heights,D13A,0,null,null,LT,0
Vista Heights,D13B,0,null,null,LT,0
Vista Heights,D15,0,null,null,LT,0
Vista Heights,D21,09217003797,null,null,LT,0
Vista Heights,D23B,0,null,null,LT,0
Vista Heights,D41,09217003803,null,null,Un-metered,0
Vista Heights,Office,null,null,null,LT,0
