property,apartment_code,gender_allowed,bed_code,bed_type,toilet_type,bed_status,bed_lifecycle_status,current_rate
Vista Heights,A11,Male,A1,Single,Common,Live,notice,19500.00
Vista Heights,A11,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,A11,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,A11,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,A11,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,A12,female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,A12,female,B1,Double,Attached,Live,notice,15500.00
Vista Heights,A12,female,B2,Double,Attached,Live,vacant,15500.00
Vista Heights,A12,female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,A12,female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,A22,Male,A1,Single,Common,Not-Active,vacant,19500.00
Vista Heights,A22,Male,B1,Double,Attached,Not-Active,vacant,15500.00
Vista Heights,A22,Male,B2,Double,Attached,Not-Active,vacant,15500.00
Vista Heights,A22,Male,C1,Double,Common,Not-Active,notice,15500.00
Vista Heights,A22,Male,C2,Double,Common,Not-Active,vacant,15500.00
Vista Heights,A23,male,A1,Single,Common,Live,notice,19500.00
Vista Heights,A23,male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,A23,male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,A23,male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,A23,male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,A24,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,A24,Male,B1,Triple,Attached,Live,occupied,13500.00
Vista Heights,A24,Male,B2,Triple,Attached,Live,occupied,13500.00
Vista Heights,A24,Male,B3,Triple,Attached,Live,occupied,13500.00
Vista Heights,A24,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,A24,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,A41,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,A41,Male,B1,Triple,Attached,Live,notice,13500.00
Vista Heights,A41,Male,B2,Triple,Attached,Live,occupied,13500.00
Vista Heights,A41,Male,B3,Triple,Attached,Live,occupied,13500.00
Vista Heights,A41,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,A41,Male,C2,Double,Common,Live,notice,15500.00
Vista Heights,A41,Male,D1,Double,Attached,Live,occupied,15500.00
Vista Heights,A41,Male,D2,Double,Attached,Live,occupied,15500.00
Vista Heights,A44,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,A44,Male,B1,Double,Attached,Live,notice,15500.00
Vista Heights,A44,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,A44,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,A44,Male,C2,Double,Common,Live,notice,15500.00
Vista Heights,A44,Male,D1,Single,Attached,Live,occupied,19500.00
Vista Heights,B11,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B11,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B11,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B11,Male,C1,Double,Common,Live,notice,15500.00
Vista Heights,B11,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B11,Male,D1,Single,Attached,Live,occupied,19500.00
Vista Heights,B12,female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B12,female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B12,female,B2,Double,Attached,Live,notice,15500.00
Vista Heights,B12,female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B12,female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B13,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B13,Male,B1,Double,Attached,Live,vacant,15500.00
Vista Heights,B13,Male,B2,Double,Attached,Live,notice,15500.00
Vista Heights,B13,Male,C1,Double,Common,Live,vacant,15500.00
Vista Heights,B13,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B14,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B14,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B14,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B14,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B14,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B22,female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B22,female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B22,female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B22,female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B22,female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B24,female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B24,female,B1,Triple,Attached,Live,occupied,13500.00
Vista Heights,B24,female,B2,Triple,Attached,Live,notice,13500.00
Vista Heights,B24,female,B3,Triple,Attached,Live,occupied,13500.00
Vista Heights,B24,female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B24,female,C2,Double,Common,Live,notice,15500.00
Vista Heights,B31,male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B31,male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B31,male,C1,Double,Attached,Live,vacant,15500.00
Vista Heights,B31,male,C2,Double,Attached,Live,occupied,15500.00
Vista Heights,B32,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B32,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B32,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B32,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B32,Male,C2,Double,Common,Live,notice,15500.00
Vista Heights,B33,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B33,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B33,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B33,Male,C1,Double,Common,Live,notice,15500.00
Vista Heights,B33,Male,C2,Double,Common,Live,vacant,15500.00
Vista Heights,B34,male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B34,male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B34,male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,B34,male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B34,male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B41,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B41,Male,B1,Double,Attached,Live,notice,15500.00
Vista Heights,B41,Male,B2,Double,Attached,Live,notice,15500.00
Vista Heights,B41,Male,C1,Double,Common,Live,notice,15500.00
Vista Heights,B41,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B41,Male,D1,Single,Attached,Live,occupied,19500.00
Vista Heights,B42,Male,A1,Single,Common,Live,vacant,19500.00
Vista Heights,B42,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B42,Male,B2,Double,Attached,Live,booked,15500.00
Vista Heights,B42,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B42,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B43,Female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B43,Female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,B43,Female,B2,Double,Attached,Live,vacant,15500.00
Vista Heights,B43,Female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B43,Female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,B44,Female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,B44,Female,B1,Triple,Attached,Live,notice,13500.00
Vista Heights,B44,Female,B2,Triple,Attached,Live,occupied,13500.00
Vista Heights,B44,Female,B3,Triple,Attached,Live,occupied,13500.00
Vista Heights,B44,Female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,B44,Female,C2,Double,Common,Live,notice,15500.00
Vista Heights,C11,male,A1,Single,Common,Live,vacant,19500.00
Vista Heights,C11,male,B1,Double,Attached,Live,vacant,15500.00
Vista Heights,C11,male,B2,Double,Attached,Live,vacant,15500.00
Vista Heights,C11,male,C1,Double,Common,Live,vacant,15500.00
Vista Heights,C11,male,C2,Double,Common,Live,vacant,15500.00
Vista Heights,C12,Female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,C12,Female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,C12,Female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,C12,Female,C1,Triple,Attached,Live,occupied,13500.00
Vista Heights,C12,Female,C2,Triple,Attached,Live,occupied,13500.00
Vista Heights,C12,Female,C3,Triple,Attached,Live,occupied,13500.00
Vista Heights,C12,Female,D1,Double,Common,Live,notice,15500.00
Vista Heights,C12,Female,D2,Double,Common,Live,notice,15500.00
Vista Heights,C21,Male,A1,Single,Common,Live,notice,19500.00
Vista Heights,C21,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,C21,Male,B2,Double,Attached,Live,notice,15500.00
Vista Heights,C21,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,C21,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,C21,Male,D1,Single,Attached,Live,occupied,19500.00
Vista Heights,C24,Female,B1,Triple,Attached,Live,vacant,13500.00
Vista Heights,C24,Female,B2,Triple,Attached,Live,occupied,13500.00
Vista Heights,C24,Female,B3,Triple,Attached,Live,occupied,13500.00
Vista Heights,C24,Female,C1,Double,Common,Live,vacant,15500.00
Vista Heights,C24,Female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,C31,Male,A1,Single,Common,Live,notice,19500.00
Vista Heights,C31,Male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,C31,Male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,C31,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,C31,Male,C2,Double,Common,Live,occupied,15500.00
Vista Heights,C31,Male,D1,Single,Attached,Live,occupied,19500.00
Vista Heights,C34,female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,C34,female,B1,Double,Attached,Live,vacant,15500.00
Vista Heights,C34,female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,C34,female,C1,Double,Common,Live,vacant,15500.00
Vista Heights,C34,female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,C41,Male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,C41,Male,B1,Double,Attached,Live,notice,15500.00
Vista Heights,C41,Male,B2,Double,Attached,Live,notice,15500.00
Vista Heights,C41,Male,C1,Double,Common,Live,occupied,15500.00
Vista Heights,C41,Male,C2,Double,Common,Live,vacant,15500.00
Vista Heights,C41,Male,D1,Single,Attached,Live,occupied,19500.00
Vista Heights,C42,female,A1,Single,Common,Live,booked,19500.00
Vista Heights,C42,female,B1,Double,Attached,Live,notice,15500.00
Vista Heights,C42,female,B2,Double,Attached,Live,notice,15500.00
